S.No.,Normal_Word,Hindi Word,Hinglish Word,Category,,
1,Kidney ,गुर्दा,Gurda,Medical,,
2,Liver,"कलेजा, जिगर",Kaleja,Medical,,
3,Lungs,फेफड़ा,Fefda,Medical,,
4,Abdomen,पेट,Pet,Medical,,
5,Ankle ,टखने,Takhne,Medical,,
6,Knee,घुटना,Ghutna,Medical,,
7,Intestine,आंत,Aant,Medical,,
8,Heel,एड़ी,Aedi,Medical,,
9,Fingers,उंगलियों,Ungaliyon,Medical,,
10,Heart,दिल,Dil,Medical,,
11,Forehead,माथा,Matha,Medical,,
12,Heart attack,दिल का दौरा,Dil ka daura,Medical,,
13,Brain,दिमाग,Dimag,Medical,,
14,Diabetes,मधुमेह,Madhumeh,Medical,,
15,TB,क्षय रोग,Ksha rog,Medical,,
16,Cancer,कर्क रोग,Kark rog,Medical,,
17,Smoking,धूम्रपान,Dhumrapaan,Medical,,
18,Prohibited,निषिद्ध,Nishiddh,Medical,,
19,Hay fever,परागज्वर,Paragjwar,Medical,,
20,Pollen,पराग कण,Parag Kann,Medical,,
21,Rashes,चकत्ते,Chakatte,Medical,,
22,Itching,खुजली होना,Khujlee hona,Medical,,
23,Scratching ,खुजली करना,Khujlee karna,Medical,,
24,Watery eyes,आँखों से पानी आना,Aankhon se paani aana,Medical,,
25,Blocked nose,बंद नाक,Band naak,Medical,,
26,Running nose,बहती नाक,Behti naak,Medical,,
27,Symptoms,लक्षण,Lakshan,Medical,,
28,Causes,कारण,Kaaran,Medical,,
29,Diagnosis,बीमारी का निदान करना,Bimari ka nidan karna,Medical,,
30,"High blood pressure/
 hypertension",उच्च रक्तचाप,Uchh raktchaap,Medical,,
31,"Low blood pressure/ 
hypotension",निम्न रक्तचाप,Nimn raktchaap,Medical,,
32,Hyperglycemia,अतिग्लूकोसरक्‍तता / उच्च रक्त शर्करा,"Atiglucosaraktta /  
uchh rakt sharkara",Medical,,
33,Hypoglycemia,अल्पशर्करारक्तता,Alpsharkaraaraktta,Medical,,
34,Thyroid,गल ग्रंथि,Gal graanthi,Medical,,
35,Gland,ग्रंथि,Graanthi,Medical,,
36,Obesity,मोटापा,Motapa,Medical,,
37,Active,सक्रिय,Sakriya ,Medical,General,
38,Inactive,निष्क्रिय,Nishkriy,Medical,General,
39,Daily,दैनिक,Dainik,General,,
40,Routine ,दिनचर्या,Dincharya,General,,
41,Weekly,साप्ताहिक,Saaptaahik,General,,
42,Week,सप्ताह,Saptaah,General,,
43,Fortnightly ,पाक्षिक,Pakshik,General,,
44,Monthly,मासिक,Maasik,General,,
45,Month,"महीना, मास, माह","Mahina, Maas, Maah",General,,
46,Blood shot eyes,खून सी लाल आंखें,Khoon si laal aankhen,General,,
47,Quarterly ,त्रैमासिक,Tremaasik,General,,
48,Respiratory system,श्वसन प्रणाली,Shvasan pranaalee,Medical,,
49,Reproductive system,प्रजनन प्रणाली,Prajanan pranaalee,Medical,,
50,Process,प्रक्रिया,Prakriya,General,,
51,Procedure,प्रक्रिया,Prakriya,General,,
52,Policy,नीति,Neeti,General,Insurance,Legal
53,Plan,योजना,Yojna,General,Insurance,Legal
54,Centre,केंद्र,Kendra,General,,
55,Planned,योजनाबद्ध,Yojnabandh,General,,
56,Inflammation,"सूजन, प्रदाह","Soojan, pradah",Medical,,
57,Swelling,"उन्नतोदर, सूजन","Unntodar, soojan",Medical,,
58,Analgesic,"दर्ड हटानेवाला दवा, पीड़ाहर दवा","Dard hatanewala dawa, peedahar dawa",Medical,,
59,Anti-inflammatory,सूजनरोधी,Soojanrodhi,Medical,,
60,Antibiotic,प्रतिजैविक दवा,Pratijaivik dawa,Medical,,
61,Anesthesia,बेहोश करने की दवा ,Behosh karni ki dawa,Medical,,
62,Anesthetic,चतनाशून्य करनेवाली दवा,chatanaashoony karne vali dawa ,Medical,,
63,Local,स्थानीय,sthaaneey,General,Medical,
64,Local anesthesia ,स्थानीय संज्ञाहरण,sthaaneey sangyaaharan,Medical,,
65,Numb,सुन्न,Sunn,Medical,,
66,Cataract ,मोतियाबिंद,Motiyabind,Medical,,
67,Blurred vision,धुंधली दृष्टि,Dhoondhli drishti,Medical,,
68,Double vision,दोहरी दृष्टि,Dohri drishti,Medical,,
69,Vision,दृष्टि,Drishti,Medical,General,
70,Bones,हड्डी,Haddi,Medical,,
71,Joints,जोड़,Jod,Medical,,
72,Fracture,अस्थिभंग,Asthibhang,Medical,,
73,Serious fracture,गंभीर रूप से हड्डी का टूटना ,Gambhir roop se haddi ka tootna,Medical,,
74,Hairline fracture ,सूक्ष्‍मरेखी अस्थिभंग,Sookshmarakhi asthibhang,Medical,,
75,Sprain,,,,,
76,Bruise,,,,,
77,Aged care center,,,,,
78,Interest,,,,,
79,Choose,,,,,
80,Popular,,,,,
81,Legal,,,,,
82,Illegal,,,,,
83,Crime,,,,,
84,Criminal,,,,,
85,Court,,,,,
86,Magistrate,,,,,
87,Justice,,,,,
88,Guilty,,,,,
89,Prosecution,,,,,
90,Defence,,,,,
91,defendant,,,,,
92,Witness,,,,,
93,Evidence,,,,,
94,Certificate,,,,,
95,Property,,,,,
96,Will,,,,,
97,Domestic Violence,,,,,
98,Currency,,,,,
99,Airport,,,,,
100,sentence,सूक्ष्‍मरेखी अस्थिभंग,Sookshmarakhi asthibhang,Medical,,
